run,duration_s,moving_s,distance_m,gps_path_m,v_mean,v_median,v_p95,v_max,yaw_p95_dps,yaw_max_dps,ay_p95,ay_max,steer_p95_deg,steer_max_deg,steer_zero_motor_deg,coast_decel,kick_accel,stops,turning_frac,net_heading_deg,turns,shape
20260911_190210,36.4,33.0,49.9,31.0,1.49,1.5,1.87,2.03,23.0,36.0,0.64,1.02,15.0,21.0,0.0,-0.79,0.8,0,0.28,-37.0,L35 R31,2 sweeps
20260911_190222,24.1,24.1,35.0,32.9,1.43,1.46,1.9,1.97,36.0,52.0,1.02,1.46,26.0,29.0,0.0,-0.42,0.59,0,0.4,-223.0,R99 R91,2 corners
20260911_190303,38.6,34.1,59.0,56.5,1.67,1.73,2.14,2.31,50.0,67.0,1.16,2.02,29.0,40.0,0.0,-0.56,0.56,0,0.46,-147.0,R91 R145 L130 R55,"3 corners, 1 sweep"
20260911_190310,27.0,24.4,44.6,41.7,1.78,1.87,2.57,2.67,42.0,58.0,1.5,2.08,39.0,43.0,0.0,-0.45,0.66,0,0.6,-73.0,L58 R89 L83 R128,"3 corners, 1 sweep, slalom"
20260911_190351,9.9,6.5,10.2,9.5,1.53,1.78,1.97,2.06,51.0,62.0,1.66,2.04,24.0,29.0,0.0,-0.28,0.96,0,0.36,-63.0,R47,1 sweep
20260911_190426,61.4,60.5,110.3,106.9,1.8,1.84,2.25,2.41,44.0,58.0,1.44,2.23,23.0,28.0,0.0,-0.45,0.47,0,0.39,345.0,L84 L97 L91 L93 L70 R76,6 corners
20260911_190440,30.9,24.5,45.5,44.2,1.83,1.86,2.24,2.43,39.0,53.0,1.26,1.94,19.0,24.0,0.0,-0.42,0.63,0,0.5,-95.0,L73 R74 R86,3 corners
20260911_190606,93.1,91.0,125.3,119.8,1.35,1.41,1.87,2.04,33.0,60.0,0.63,0.84,32.0,54.0,0.0,-0.62,0.66,0,0.37,318.0,R37 L183 L141,"1 U-turn, 1 corner, 1 sweep"
20260911_190610,69.8,69.8,126.9,121.7,1.76,1.89,2.46,2.72,57.0,82.0,1.6,2.43,39.0,55.0,0.0,-0.52,0.51,0,0.44,168.0,R85 R82 R145 L204 L140 L95 L92,"1 U-turn, 6 corners"
20260911_190809,113.3,91.0,144.0,31.3,1.53,1.51,2.15,2.71,40.0,67.0,1.1,1.5,29.0,41.0,0.0,-0.53,0.49,1,0.63,-155.0,L37 R70 L63 R63 L53 R54 L37 R48 L45 R45 L56 R260 L36 R37 L54 R33 L33 R49 L50 R42 L38 R36 L45 L43,"1 U-turn, 3 corners, 20 sweeps"
20260911_191928,56.1,54.5,84.6,81.3,1.5,1.59,2.28,2.69,44.0,74.0,0.87,1.4,43.0,53.0,0.0,-0.42,0.61,0,0.42,-20.0,L188 L71 R182 R50,"2 U-turns, 1 corner, 1 sweep"
