model,fit,parameter,preset,fitted,was_fitted
brush,all_data,mu,0.8,0.8,False
brush,all_data,cp,3599999.999999997,12890095.438620122,True
brush,all_data,contact_length,0.02500000000000001,0.02500000000000001,False
brush,all_data,yaw_inertia,8.0,7.062056666692436,True
brush,all_data,align_gain,0.10000000000000002,0.10000000000000002,False
brush,all_data,yaw_damping,0.49999999999999994,0.28751986836812626,True
brush,all_data,C_alpha,4500.0,16112.619298275164,True
brush,all_data,C_alpha_rear,4500.0,16112.619298275164,True
brush,all_data,steer_zero_deg,0.0,0.04355849274178781,True
brush,all_data,steer_ratio,0.34403669724770647,0.34403669724770647,False
fiala,all_data,mu,0.8,0.8,False
fiala,all_data,yaw_inertia,8.0,7.123931592351087,True
fiala,all_data,yaw_damping,0.49999999999999994,0.313432071380999,True
fiala,all_data,tire.cx,4500.000000000001,4500.000000000001,False
fiala,all_data,tire.cy,4500.000000000001,27522.8246447942,True
fiala,all_data,C_alpha,4497.9765618373385,27447.190425612982,True
fiala,all_data,C_alpha_rear,4497.9765618373385,27447.190425612982,True
fiala,all_data,steer_zero_deg,0.0,0.04179646625362728,True
fiala,all_data,steer_ratio,0.34403669724770647,0.34403669724770647,False
dugoff,all_data,mu,0.8,0.8,False
dugoff,all_data,yaw_inertia,8.0,7.029771073968133,True
dugoff,all_data,yaw_damping,0.49999999999999994,0.29752621701688986,True
dugoff,all_data,tire.cx,4500.000000000001,4500.000000000001,False
dugoff,all_data,tire.cy,4500.000000000001,26170.43994235671,True
dugoff,all_data,C_alpha,4500.000014998877,26170.440029584974,True
dugoff,all_data,C_alpha_rear,4500.000014998877,26170.440029584974,True
dugoff,all_data,steer_zero_deg,0.0,0.04135072108726656,True
dugoff,all_data,steer_ratio,0.34403669724770647,0.34403669724770647,False
burckhardt,all_data,yaw_inertia,8.0,7.0152939795053415,True
burckhardt,all_data,yaw_damping,0.49999999999999994,0.2538741524529754,True
burckhardt,all_data,tire.coefficients_y.c1,1.28,1.28,False
burckhardt,all_data,tire.coefficients_y.c2,8.838521991365356,21.698518452775975,True
burckhardt,all_data,tire.coefficients_y.c3,0.52,0.52,False
burckhardt,all_data,C_alpha,4497.916021118707,11350.362441390007,True
burckhardt,all_data,C_alpha_rear,4497.916021118707,11350.362441390007,True
burckhardt,all_data,steer_zero_deg,0.0,0.05353393221003827,True
burckhardt,all_data,steer_ratio,0.34403669724770647,0.34403669724770647,False
pacejka,all_data,mu,0.8,0.8,False
pacejka,all_data,yaw_inertia,8.0,7.06431827740069,True
pacejka,all_data,yaw_damping,0.49999999999999994,0.30486811436833516,True
pacejka,all_data,tire.cx,4500.000000000001,4500.000000000001,False
pacejka,all_data,tire.cy,4500.000000000001,26842.155102773122,True
pacejka,all_data,tire.shape_y,1.3,1.3,False
pacejka,all_data,tire.curvature_y,-0.19999999999999996,-0.19999999999999996,False
pacejka,all_data,C_alpha,4499.997336715463,26841.5910370891,True
pacejka,all_data,C_alpha_rear,4499.997336715463,26841.5910370891,True
pacejka,all_data,steer_zero_deg,0.0,0.04147461474861817,True
pacejka,all_data,steer_ratio,0.34403669724770647,0.34403669724770647,False
brush,held_out,mu,0.8,0.8,False
brush,held_out,cp,3599999.999999997,12685943.98621116,True
brush,held_out,contact_length,0.02500000000000001,0.02500000000000001,False
brush,held_out,yaw_inertia,8.0,7.065263109682145,True
